                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3709,                 3.4086,                 1.4068,                0.00693,                      1,                 0.0947,                0.06024,                 1.3357,                 3.3962,                 1.4205,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.1562,                 3.2229,                 1.2006,                0.00697,                      1,                0.46028,                0.35246,                 1.0702,                  3.288,                 1.2361,             8.2525e-05,             8.2525e-05,             8.2525e-05
                      3,                 1.0026,                 2.8047,                 1.1046,                0.00702,                      1,                0.50037,                0.40681,                0.93562,                 3.2215,                 1.1757,             0.00013072,             0.00013072,             0.00013072
                      4,                 1.0403,                 2.2073,                 1.0831,                0.00674,                      1,                0.52412,                0.41671,                0.91444,                 3.1042,                 1.1676,             0.00017792,             0.00017792,             0.00017792
                      5,                0.94956,                 1.7497,                 1.1298,                 0.4629,                0.55556,                0.57297,                0.42835,                0.96637,                 2.9564,                 1.1785,             0.00022414,             0.00022414,             0.00022414
                      6,                0.91443,                 1.5982,                 1.0921,                0.00653,                      1,                0.60306,                0.45427,                0.92311,                 2.9347,                 1.1299,             0.00026936,             0.00026936,             0.00026936
                      7,                0.96526,                 1.4403,                 1.0785,                0.00647,                      1,                0.64145,                 0.4939,                0.87731,                 2.8007,                 1.0448,              0.0003136,              0.0003136,              0.0003136
                      8,                0.88063,                 1.2693,                 1.0228,                0.46232,                    0.5,                 0.6844,                0.51958,                0.89459,                 2.7025,                 1.0255,             0.00035684,             0.00035684,             0.00035684
                      9,                0.81497,                 1.2058,                 1.0242,                      1,                0.34846,                0.70206,                0.51986,                0.97538,                 2.5272,                 1.0426,             0.00039909,             0.00039909,             0.00039909
                     10,                0.88073,                 1.1138,                 1.0011,                      1,                0.48071,                0.71269,                0.51886,                 1.0139,                 2.4904,                 1.0438,             0.00044036,             0.00044036,             0.00044036
                     11,                0.89775,                 1.1961,                 1.0435,                0.98529,                    0.5,                0.77186,                0.58217,                0.94117,                 2.4774,                 1.0183,             0.00048063,             0.00048063,             0.00048063
                     12,                0.86787,                 1.1222,                 1.0364,                      1,                0.47966,                0.96903,                 0.7438,                0.86292,                  2.476,                 1.0647,             0.00051991,             0.00051991,             0.00051991
                     13,                0.89654,                 1.1442,                 1.0933,                      1,                 0.4501,                0.79587,                 0.6306,                0.87793,                 2.5318,                 1.0647,              0.0005582,              0.0005582,              0.0005582
                     14,                0.90258,                 1.1137,                 1.0619,                      1,                0.47571,                0.88741,                0.64965,                 0.8915,                 2.5448,                  1.048,             0.00059551,             0.00059551,             0.00059551
                     15,                0.85494,                 1.1809,                 1.0376,                      1,                0.39008,                0.94222,                0.70324,                0.90757,                 2.5661,                 1.0491,             0.00063182,             0.00063182,             0.00063182
                     16,                0.87175,                 1.1642,                 1.0271,                      1,                0.39667,                  0.973,                0.73647,                 0.9657,                  2.508,                 1.0905,             0.00066714,             0.00066714,             0.00066714
                     17,                0.90914,                 1.0932,                 1.0637,                      1,                 0.4803,                 0.9565,                0.66129,                0.97986,                 2.4128,                 1.1547,             0.00070147,             0.00070147,             0.00070147
                     18,                0.84844,                 1.0811,                 1.0399,                      1,                0.48382,                0.91166,                0.66508,                0.99171,                 2.3763,                 1.1536,             0.00073482,             0.00073482,             0.00073482
                     19,                0.85119,                 1.0348,                 1.0199,                      1,                 0.4849,                0.90906,                0.64958,                 1.0873,                 2.3387,                 1.2385,             0.00076717,             0.00076717,             0.00076717
                     20,                0.82531,                 1.0463,                  1.074,                0.95229,                    0.5,                0.95409,                0.69262,                 1.0326,                 2.2511,                 1.1728,             0.00079853,             0.00079853,             0.00079853
                     21,                0.83519,                 1.0224,                   1.07,                0.95399,                    0.5,                  0.995,                0.73691,                0.93759,                 2.1438,                  1.109,              0.0008289,              0.0008289,              0.0008289
                     22,                0.88278,                0.98147,                 1.0306,                0.96074,                0.56528,                  0.995,                0.73414,                 1.0136,                 2.1189,                 1.1664,             0.00085828,             0.00085828,             0.00085828
                     23,                0.84072,                 1.1015,                 1.0464,                0.95559,                0.60664,                  0.995,                0.69708,                 1.1053,                 2.0283,                 1.2691,             0.00088667,             0.00088667,             0.00088667
                     24,                0.87255,                 1.1023,                 1.0523,                0.95999,                0.96745,                  0.995,                0.73773,                0.96351,                 1.8184,                 1.2148,             0.00091407,             0.00091407,             0.00091407
                     25,                0.85603,                 1.0879,                 1.0412,                 0.9597,                0.98271,                  0.995,                 0.7557,                0.93623,                 1.5368,                 1.1805,             0.00094048,             0.00094048,             0.00094048
                     26,                0.88249,                0.96138,                 1.0284,                0.94267,                0.94444,                 0.9895,                0.74778,                0.97552,                 1.3985,                 1.2394,              0.0009659,              0.0009659,              0.0009659
